"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Framework Hardening","0","Allure Categories Demo","0","0","Test Defect Category","0"
"0","Framework Hardening","1","Allure Categories Demo","0","0","Product Defect Category","0"
"1","Framework Hardening","0","Allure Categories Demo","0","0","Flaky Category","0"
