"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Categories split flaky, test and product failures so each bucket has an error","40","categoriesSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesSpecificFlakyRuleBeforeGenericBuckets"
"","53","countsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"","6","shouldAppearInProductDefectCategory()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureCategoryTriggerTest","com.ust.sdet.tests.AllureCategoryTriggerTest","shouldAppearInProductDefectCategory"
"","120","createsOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
"","9","shouldAppearInFlakyCategory()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureCategoryTriggerTest","com.ust.sdet.tests.AllureCategoryTriggerTest","shouldAppearInFlakyCategory"
"","17","shouldAppearInBrokenCategory()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.AllureCategoryTriggerTest","com.ust.sdet.tests.AllureCategoryTriggerTest","shouldAppearInBrokenCategory"
"The leadership view is the overview page once categories, history, severity and environment","3","executiveViewNeedsFourSignals()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","executiveViewNeedsFourSignals"
"Environment metadata answers which browser, base URL and build produced the report.","7","environmentTemplateCarriesRunContext()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","environmentTemplateCarriesRunContext"
