"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","shouldAppearInProductDefectCategory()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureCategoryTriggerTest","com.ust.sdet.tests.AllureCategoryTriggerTest","shouldAppearInProductDefectCategory"
"","24","shouldAppearInBrokenCategory()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.AllureCategoryTriggerTest","com.ust.sdet.tests.AllureCategoryTriggerTest","shouldAppearInBrokenCategory"
"","10","shouldAppearInFlakyCategory()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.AllureCategoryTriggerTest","com.ust.sdet.tests.AllureCategoryTriggerTest","shouldAppearInFlakyCategory"
"The leadership view is the overview page once categories, history, severity and environment","2","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","executiveViewNeedsFourSignals"
"","68","countsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"Categories split flaky, test and product failures so each bucket has an error","25","categoriesSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","categoriesSpecificFlakyRuleBeforeGenericBuckets"
"Environment metadata answers which browser, base URL and build produced the report.","3","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.AllureReportInsightTest","com.ust.sdet.tests.AllureReportInsightTest","environmentTemplateCarriesRunContext"
"","135","createsOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
